storm_id,storm_name,year,peak_t,peak_affected_population_proxy,peak_affected_population_share_proxy,peak_n_unserved_buses,peak_unserved_bus_share,peak_n_failed_lines_cumulative,peak_failed_line_share_cumulative,final_affected_population_proxy,final_n_unserved_buses,final_n_failed_lines_cumulative,n_timesteps,n_generator_buses_considered,rank,peak_affected_population_proxy_norm,peak_n_failed_lines_norm,peak_n_unserved_buses_norm,grid_impact_index_v3,rank_index
WP132008,NURI,2008,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,133,114,0.0,0.0,0.0,0.0,114
WP142008,UNNAMED,2008,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,15,133,115,0.0,0.0,0.0,0.0,115
WP152008,SINLAKU,2008,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,18,133,116,0.0,0.0,0.0,0.0,116
WP182008,HAGUPIT,2008,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,133,117,0.0,0.0,0.0,0.0,117
WP192008,JANGMI,2008,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,133,118,0.0,0.0,0.0,0.0,118
WP212008,HIGOS,2008,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,133,119,0.0,0.0,0.0,0.0,119
WP242008,MAYSAK,2008,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,19,133,120,0.0,0.0,0.0,0.0,120
WP262008,NOUL,2008,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,133,121,0.0,0.0,0.0,0.0,121
WP012009,KUJIRA,2009,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,14,133,122,0.0,0.0,0.0,0.0,122
WP022009,CHAN-HOM,2009,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,16,133,123,0.0,0.0,0.0,0.0,123
WP032009,LINFA,2009,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,26,133,124,0.0,0.0,0.0,0.0,124
WP042009,NANGKA,2009,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,14,133,125,0.0,0.0,0.0,0.0,125
WP052009,SOUDELOR,2009,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,133,126,0.0,0.0,0.0,0.0,126
WP062009,UNNAMED,2009,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,133,127,0.0,0.0,0.0,0.0,127
WP072009,MOLAVE,2009,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,13,133,128,0.0,0.0,0.0,0.0,128
WP082009,GONI,2009,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,133,129,0.0,0.0,0.0,0.0,129
WP142009,MUJIGAE,2009,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,133,130,0.0,0.0,0.0,0.0,130
WP162009,KOPPU,2009,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,133,131,0.0,0.0,0.0,0.0,131
WP172009,KETSANA,2009,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,8,133,132,0.0,0.0,0.0,0.0,132
WP192009,PARMA,2009,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,36,133,133,0.0,0.0,0.0,0.0,133
WP222009,LUPIT,2009,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,14,133,134,0.0,0.0,0.0,0.0,134
