storm_id,storm_name,year,rank,impact_score,impact_land_only,impact_sea_only,land_share_of_split
WP032022,MEGI,2022,72,1.1890953787725937,0.9283671749951605,1.0315456195650674,0.473677797079472
WP122003,KROVANH,2003,73,1.1680618158247456,1.2034576284254954,0.016616660949415427,0.9863806154312712
WP042009,NANGKA,2009,74,1.1553807813454415,0.5870622719230661,0.8565806426499032,0.4066533808304802
WP272011,WASHI,2011,75,1.1311166365732541,0.54577097507832,0.7336960612579938,0.42656118491423295
WP302004,NANMADOL,2004,76,1.1309393814154007,0.0,1.1309393814154007,0.0
WP242003,MELOR,2003,77,1.1237051523854071,0.6493073516818972,0.5224350254682353,0.5541383194325684
WP242012,SON-TINH,2012,78,1.0784616714527817,0.43212909758091667,0.786982025658216,0.35446243524771215
WP172009,KETSANA,2009,79,1.0693568900877628,0.8481522496608292,0.3399574330644355,0.7138669619418915
WP192020,SAUDEL,2020,80,1.0618460375670526,0.0,1.0618460375670526,0.0
WP022020,NURI,2020,81,1.0610579308767698,0.9586821740072055,0.3705916138263078,0.7212074613836266
WP012015,MEKKHALA,2015,82,1.0235326610730695,0.995024569046375,0.23863783192984012,0.8065614776449355
WP032021,UNNAMED,2021,83,0.9525809205019165,0.9357633272025965,0.16645141704345948,0.8489845849800198
WP252005,UNNAMED,2005,84,0.9520989143775586,0.0,0.9520989143775586,0.0
WP132019,PODUL,2019,85,0.9426632103015035,0.9712287621288218,0.0,1.0
WP102011,NOCK-TEN,2011,86,0.9338963274292034,0.7208996076663161,0.2911046016664105,0.7123484280185428
WP042020,SINLAKU,2020,87,0.9278614317578748,0.8755604523702576,0.15925101950416637,0.8461062484978986
WP252016,HAIMA,2016,88,0.9207922152461407,0.41202657205788995,0.6626510068144043,0.38339552267410965
WP102022,MA-ON,2022,89,0.9145604028258109,0.7331331952208181,0.547255387356009,0.57258648288269
WP062000,KAI-TAK,2000,90,0.8433466851738151,0.4614668905629284,0.6998774110569078,0.3973557970011797
WP212020,MOLAVE,2020,91,0.7893718947126174,0.0,0.7893718947126174,0.0
WP072006,PRAPIROON,2006,92,0.7731334622126772,0.4957985980022274,0.4345573363609716,0.5329128129242136
WP302013,UNNAMED,2013,93,0.7654485522091143,0.6932889003498797,0.13116534095317695,0.8409064634734984
WP022018,SANBA,2018,94,0.7522645039428542,0.5238262071244945,0.27476596874834064,0.655937063936257
WP102015,LINFA,2015,95,0.7142179224534881,0.7358608898005634,0.12828914774721972,0.8515429703489125
WP022008,NEOGURI,2008,96,0.6985083668209131,0.20698153471239916,0.5186697816719414,0.2852355257118718
WP212007,PEIPAH,2007,97,0.6876151295852208,0.6107414762386933,0.36412364289008536,0.626488182062051
