storm_id,storm_name,year,n_failed_lines,failed_line_share,n_unserved_buses,unserved_bus_share,affected_population_proxy,n_components_after_failure,rank
WP162003,CHOI-WAN,2003,0,0.0,0,0.0,0.0,1,187
WP162005,VICENTE,2005,0,0.0,0,0.0,0.0,1,188
WP162007,LEKIMA,2007,0,0.0,0,0.0,0.0,1,189
WP162009,KOPPU,2009,0,0.0,0,0.0,0.0,1,190
WP162010,CHABA,2010,0,0.0,0,0.0,0.0,1,191
WP162014,FUNG-WONG,2014,0,0.0,0,0.0,0.0,1,192
WP162015,GONI,2015,0,0.0,0,0.0,0.0,1,193
WP162016,MERANTI,2016,0,0.0,0,0.0,0.0,1,194
WP162017,PAKHAR,2017,0,0.0,0,0.0,0.0,1,195
WP162019,KAJIKI,2019,0,0.0,0,0.0,0.0,1,196
WP172005,DAMREY,2005,0,0.0,0,0.0,0.0,1,197
WP172007,KROSA,2007,0,0.0,0,0.0,0.0,1,198
WP172009,KETSANA,2009,0,0.0,0,0.0,0.0,1,199
WP172013,USAGI,2013,0,0.0,0,0.0,0.0,1,200
WP172020,LINFA,2020,0,0.0,0,0.0,0.0,1,201
WP182000,BILIS,2000,0,0.0,0,0.0,0.0,1,202
WP182001,FITOW,2001,0,0.0,0,0.0,0.0,1,203
WP182002,UNNAMED,2002,0,0.0,0,0.0,0.0,1,204
WP182003,UNNAMED,2003,0,0.0,0,0.0,0.0,1,205
WP182006,XANGSANE,2006,0,0.0,0,0.0,0.0,1,206
WP182008,HAGUPIT,2008,0,0.0,0,0.0,0.0,1,207
WP182012,JELAWAT,2012,0,0.0,0,0.0,0.0,1,208
WP182016,MALAKAS,2016,0,0.0,0,0.0,0.0,1,209
WP182017,MAWAR,2017,0,0.0,0,0.0,0.0,1,210
WP182020,NANGKA,2020,0,0.0,0,0.0,0.0,1,211
WP182021,CONSON,2021,0,0.0,0,0.0,0.0,1,212
WP182022,NORU,2022,0,0.0,0,0.0,0.0,1,213
WP182023,JELAWAT,2023,0,0.0,0,0.0,0.0,1,214
WP192000,KAEMI,2000,0,0.0,0,0.0,0.0,1,215
WP192008,JANGMI,2008,0,0.0,0,0.0,0.0,1,216
WP192009,PARMA,2009,0,0.0,0,0.0,0.0,1,217
WP192017,GUCHOL,2017,0,0.0,0,0.0,0.0,1,218
WP192019,MITAG,2019,0,0.0,0,0.0,0.0,1,219
WP192020,SAUDEL,2020,0,0.0,0,0.0,0.0,1,220
WP192021,CHANTHU,2021,0,0.0,0,0.0,0.0,1,221
WP202004,AERE,2004,0,0.0,0,0.0,0.0,1,222
WP202011,NESAT,2011,0,0.0,0,0.0,0.0,1,223
WP202013,WUTIP,2013,0,0.0,0,0.0,0.0,1,224
WP202016,MEGI,2016,0,0.0,0,0.0,0.0,1,225
WP212000,MARIA,2000,0,0.0,0,0.0,0.0,1,226
WP212007,PEIPAH,2007,0,0.0,0,0.0,0.0,1,227
WP212008,HIGOS,2008,0,0.0,0,0.0,0.0,1,228
WP212012,GAEMI,2012,0,0.0,0,0.0,0.0,1,229
WP212014,SINLAKU,2014,0,0.0,0,0.0,0.0,1,230
WP212017,DOKSURI,2017,0,0.0,0,0.0,0.0,1,231
WP212019,NEOGURI,2019,0,0.0,0,0.0,0.0,1,232
WP212020,MOLAVE,2020,0,0.0,0,0.0,0.0,1,233
