storm_id,impact_score,max_hazard,mean_hazard,impacted_buses,year,storm_name
WP032022,1.1822072487053144,0.11398336401868807,0.004778023834814174,38,2022,MEGI
WP122003,1.1773315831866618,0.1458453432821837,0.004654086215189977,24,2003,KROVANH
WP302004,1.1342078469498542,0.12088629270196716,0.004298390934605671,34,2004,NANMADOL
WP042009,1.124012797547337,0.04910003521041767,0.0038206137511440363,72,2009,NANGKA
WP272011,1.1232443187198478,0.09685883464661434,0.004795057428968342,43,2011,WASHI
WP242003,1.0938492988269775,0.35771658596618117,0.004432845455971532,13,2003,MELOR
WP022020,1.062826606716903,0.0659520779996862,0.0038857277949653404,70,2020,NURI
WP172009,1.0534548921803106,0.07734677846851458,0.0034792469543004014,58,2009,KETSANA
WP242012,1.0523963205179179,0.1123702727764559,0.004123547980597575,66,2012,SON-TINH
WP192020,1.0376772217080055,0.1533318775306705,0.0038284073859530684,31,2020,SAUDEL
WP012015,1.0176500766094239,0.13903592276750062,0.0038547344324474596,21,2015,MEKKHALA
WP032021,0.9567071655134719,0.09058176441335115,0.003976920950240429,40,2021,UNNAMED
WP132019,0.9485997764804317,0.087274830547863,0.003569876594906018,30,2019,PODUL
WP252005,0.9414990558114072,0.07113448027964529,0.003963803738436313,68,2005,UNNAMED
WP102011,0.9319931886746258,0.13651480571278757,0.003603522839919613,37,2011,NOCK-TEN
WP042020,0.9287804723101961,0.050385697045436204,0.002662411441738155,74,2020,SINLAKU
WP252016,0.9007023900719674,0.152936604764344,0.003774737187175364,12,2016,HAIMA
WP102022,0.8916920284722039,0.22289977557705473,0.003627008402287456,12,2022,MA-ON
WP062000,0.8251327879635778,0.11880312667209776,0.0034206750176921665,25,2000,KAI-TAK
WP212020,0.7741452784918322,0.06320994501755857,0.0026877532799138774,33,2020,MOLAVE
WP072006,0.7728313601542491,0.08816606417723473,0.003023847057878077,26,2006,PRAPIROON
WP302013,0.7599828006297976,0.06050105375626065,0.0030484564157328455,50,2013,UNNAMED
WP022018,0.7368076658781306,0.09392356603989607,0.0031534328773281423,43,2018,SANBA
WP102015,0.7131301083688086,0.20263615961550435,0.002955691058270054,19,2015,LINFA
WP022008,0.6937611512730051,0.09643157814646827,0.002941367640183034,54,2008,NEOGURI
WP212007,0.690189091742996,0.07761858125962226,0.002773295971405475,22,2007,PEIPAH
WP242007,0.6152217268520067,0.13557080631335883,0.0025633043801086518,11,2007,MITAG
WP332018,0.5985172588700615,0.05729540904642975,0.002465545361472785,42,2018,USAGI
WP162014,0.5598118925635039,0.18979456864479197,0.0023505771944879288,9,2014,FUNG-WONG
