storm_id,expected_pop_affected,expected_infra_loss,expected_network_loss,expected_composite_consequence,mean_p_fail,max_p_fail,n_buses_with_pfail_20,n_buses_with_pfail_50,n_buses_with_pfail_80,storm_name,year,rank,impact_score,rank_functional,rank_shift_functional
WP132008,20035063.604732364,4.389660767160842,2.9601887691784756,4.407171357044701,0.015417649839471227,0.08844441563099992,0,0,0,NURI,2008,107,0.4568360101999793,99,8
WP212007,20203788.15164615,4.385043552069726,2.959985181757985,4.402739490134822,0.01541658948832284,0.036665055669327616,0,0,0,PEIPAH,2007,97,0.6876151295852208,100,-3
WP242017,20148757.78366511,4.383536677182075,2.9670097879835904,4.401300501452898,0.0154531759790812,0.07940823903906064,0,0,0,KHANUN,2017,105,0.494654020406276,101,4
WP302013,20408438.944787458,4.381087226889034,2.9549799583421446,4.39902811666674,0.015390520616365337,0.030061500852027544,0,0,0,UNNAMED,2013,93,0.7654485522091143,102,-9
WP332018,20238345.548732165,4.3519809696248055,2.934616055817458,4.369674531150151,0.01528445862404926,0.02895991572410438,0,0,0,USAGI,2018,99,0.6070379285669546,103,-4
WP032006,20195176.061566755,4.35038475649193,2.935649855880681,4.368092989657185,0.015289842999378548,0.03756425585264995,0,0,0,JELAWAT,2006,103,0.5123737139307426,104,-1
WP252003,20131874.365909427,4.348758860644775,2.9335932403242473,4.366472092869275,0.01527913146002212,0.07549962955928319,0,0,0,NEPARTAK,2003,108,0.41593004129846184,105,3
WP242021,20026111.166333,4.348122343610061,2.9292699967588547,4.3655644687681505,0.015256614566452368,0.0507645292211785,0,0,0,KOMPASU,2021,109,0.4138589543614663,106,3
WP292004,20219518.668099374,4.341732449603022,2.9183141970705475,4.359483844215,0.015199553109742435,0.035877864294604475,0,0,0,MUIFA,2004,104,0.5109829047365396,107,-3
WP242008,20227869.575246643,4.3291202914438776,2.9164409208419015,4.346776403124695,0.015189796462718237,0.0220238975224697,0,0,0,MAYSAK,2008,102,0.5340324673739626,108,-6
WP162017,20136979.389849924,4.323475755457439,2.909478560078155,4.341047283556844,0.015153534167073724,0.03363582530358007,0,0,0,PAKHAR,2017,106,0.45920240779202576,109,-3
WP322017,20092001.877289474,4.320311967580812,2.9110370929088645,4.3378434493072024,0.015161651525567003,0.04757359097872671,0,0,0,KAI-TAK,2017,112,0.37260133261534484,110,2
WP242005,20067667.338038117,4.3192090563697505,2.9072873746962977,4.336816390312624,0.015142121743209884,0.06708492743802051,0,0,0,BOLAVEN,2005,118,0.29908594472203226,111,7
WP262020,20143729.45045563,4.305178191818687,2.899773568669805,4.322715872638099,0.015102987336821902,0.021076176507156767,0,0,0,KROVANH,2020,110,0.4059586644704556,112,-2
WP012013,20106468.69789979,4.303955415446843,2.899904293480282,4.321444518720815,0.015103668195209802,0.028398968915134947,0,0,0,SONAMU,2013,111,0.3897638531272352,113,-2
WP132018,20000279.259309728,4.302204337518045,2.8943586555813616,4.319578677830731,0.015074784664486258,0.04464844407464982,0,0,0,UNNAMED,2018,121,0.28920714896047695,114,7
WP032019,20097475.45344,4.29902901240921,2.894522634848792,4.316551657704623,0.015075638723170791,0.03683671848064373,0,0,0,UNNAMED,2019,116,0.3191952605170284,115,1
WP052009,19998421.307213318,4.298414564524225,2.891209102940057,4.315785256785872,0.015058380744479462,0.03959130057004852,0,0,0,SOUDELOR,2009,123,0.27891661432957976,116,7
WP152014,20038875.423036806,4.29680768026316,2.8904927431227727,4.314236379610532,0.01505464970376444,0.03262563107522063,0,0,0,KALMAEGI,2014,115,0.3243470724744349,117,-2
WP062016,20002350.6774025,4.295344303066003,2.8890842598666087,4.312715310742724,0.01504731385347192,0.03799280436271175,0,0,0,NIDA,2016,122,0.28587774403468497,118,4
WP042004,20106969.718361843,4.293261898872064,2.8840894709397786,4.310810451425549,0.015021299327811348,0.025162245152694863,0,0,0,NIDA,2004,117,0.307618051370346,119,-2
WP322013,20089369.789946355,4.293270675393325,2.8905201007748,4.310729885122527,0.015054792191535417,0.01912742598345751,0,0,0,PODUL,2013,113,0.3590224837148727,120,-7
WP012018,20090699.50665886,4.29039886166137,2.8878748199878426,4.307864231403723,0.01504101468743668,0.019705270679961095,0,0,0,BOLAVEN,2017,114,0.3420132381747921,121,-7
WP032009,20038998.67094755,4.287239968802991,2.885064672469733,4.304654070138375,0.015026378502446527,0.029813213498264476,0,0,0,LINFA,2009,120,0.2922875683764801,122,-2
WP222021,20069309.273496382,4.283230288915854,2.88221345088368,4.3006731826885725,0.015011528390019166,0.021606193616357728,0,0,0,LIONROCK,2021,119,0.2933823480663187,123,-4
